symbol,company_name,exchange,website,presentation_url,pdf_url,local_path,r2_url,found_via,score,file_size_kb,last_checked,error
ABI,Abcourt Mines Inc.,TSXV,https://www.abcourt.ca,https://www.abcourt.ca/,https://www.abcourt.ca/wp-content/uploads/2026/03/2026-03-25-Abcourt-Investor-Presentation-2026-02-rev1-2-1-1.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ABI\pdfs\Presentations\2026-03-25-Abcourt-Investor-Presentation-2026-02-rev1-2-1-1.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ABI/2026-03-25-Abcourt-Investor-Presentation-2026-02-rev1-2-1-1.pdf,path_probe,155,3639,2026-04-03T18:08:26.776621,
AEC,Anfield Energy Inc.,TSXV,https://anfieldenergy.com,,,,,not_found,0,0,2026-04-03T18:08:32.606677,
ASE,Asante Gold Corporation,TSXV,https://www.asantegold.com,,,,,not_found,0,0,2026-04-03T18:08:43.261452,
AFM,Alphamin Resources Corp.,TSXV,https://www.alphaminresources.com,https://www.alphaminresources.com/corporate-presentations/,https://alphaminresources.com/wp-content/uploads/2021/03/Q4-2020-Investor-Presentation_Master.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AFM\pdfs\Presentations\Q4-2020-Investor-Presentation_Master.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AFM/Q4-2020-Investor-Presentation_Master.pdf,path_probe,80,1624,2026-04-03T18:08:35.586648,
ALDE,Aldebaran Resources Inc.,TSXV,https://aldebaranresources.com,,,,,not_found,0,0,2026-04-03T18:08:35.953312,
AMX,Amex Exploration Inc.,TSXV,https://www.amexexploration.com,,,,,not_found,0,0,2026-04-03T18:08:36.852840,
ARTG,Artemis Gold Inc.,TSXV,https://www.artemisgoldinc.com,,,,,not_found,0,0,2026-04-03T18:08:41.801296,
APGO,Apollo Silver Corp.,TSXV,https://www.apollosilver.com,,,,,not_found,0,0,2026-04-03T18:08:38.796348,
BRAU,Big Ridge Gold Corp.,TSXV,https://www.bigridgegold.com,,,,,not_found,0,0,2026-04-03T18:08:59.411757,
BMM,Black Mammoth Metals Corporation,TSXV,https://www.blackmammothmetals.com,,,,,not_found,0,0,2026-04-03T18:08:56.911474,
BSK,Blue Sky Uranium Corp.,TSXV,https://www.blueskyuranium.com,https://blueskyuranium.com/investors/presentations/,https://blueskyuranium.com/site/assets/files/6522/bsk_pp_pdac_2026_v1.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BSK\pdfs\Presentations\bsk_pp_pdac_2026_v1.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BSK/bsk_pp_pdac_2026_v1.pdf,sitemap,65,4236,2026-04-03T18:09:19.863681,
ATX,ATEX Resources Inc.,TSXV,https://www.atexresources.com,https://atexresources.com/,https://atexresources.com/_resources/presentations/corporate-presentation.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ATX\pdfs\Presentations\2026-04-03_corporate-presentation.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ATX/2026-04-03_corporate-presentation.pdf,path_probe,65,5871,2026-04-03T18:08:44.586831,
BOL,Bold Ventures Inc.,TSXV,http://www.boldventuresinc.com,https://www.boldventuresinc.com/,https://www.boldventuresinc.com/wp-content/uploads/2026/01/Bold-Ventures-Presentation-Jan26.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOL\pdfs\Presentations\2026-04-03_Bold-Ventures-Presentation-Jan26.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOL/2026-04-03_Bold-Ventures-Presentation-Jan26.pdf,path_probe,50,5614,2026-04-03T18:08:57.008109,
BYN,Banyan Gold Corp.,TSXV,https://www.banyangold.com,http://banyangold.com/investors/presentations/,http://banyangold.com/site/assets/files/4671/banyan_corporate_presentation-1.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BYN\pdfs\Presentations\2026-04-03_banyan_corporate_presentation-1.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BYN/2026-04-03_banyan_corporate_presentation-1.pdf,sitemap,65,5698,2026-04-03T18:09:25.200150,
AUMB,1911 Gold Corporation,TSXV,https://www.1911gold.com,https://www.1911gold.com/investors/overview/,https://www.1911gold.com/_resources/presentations/PEA-Webinar-Presentation.pdf?v=0.489,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AUMB\pdfs\Presentations\2026-04-03_PEA-Webinar-Presentation.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AUMB/2026-04-03_PEA-Webinar-Presentation.pdf,sitemap,65,7383,2026-04-03T18:08:48.374278,
CAPT,Capitan Silver Corp.,TSXV,https://www.capitanmining.com,,,,,not_found,0,0,2026-04-03T18:09:34.863500,
BRW,Brunswick Exploration Inc.,TSXV,https://brwexplo.ca/,,,,,not_found,0,0,2026-04-03T18:09:17.738581,
AUXX,Gold X2 Mining Inc.,TSXV,https://www.goldx2.com,,,,,not_found,0,0,2026-04-03T18:08:52.710681,
BZ,Benz Mining Corp.,TSXV,http://www.benzmining.com,,,,,not_found,0,0,2026-04-03T18:09:27.876388,
CGNT,Copper Giant Resources Corp.,TSXV,http://www.liberocopper.com,,,,,not_found,0,0,2026-04-03T18:09:40.555312,
